Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pitch,x,roll,y,pitch,y,76
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,pitch,y,77
roll,z,pitch,y,pitch,x,pitch,x,pris,y,pitch,y,78
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,pitch,z,79
roll,z,pitch,y,pitch,x,pitch,y,pris,y,pitch,z,80
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,pitch,z,81
roll,z,pitch,y,pitch,x,pitch,z,pris,y,pitch,z,82
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,pitch,z,83
roll,z,pitch,y,pitch,x,pitch,x,pris,y,pitch,z,84
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,pris,x,85
roll,z,pitch,y,pitch,x,pitch,y,pris,y,pris,x,86
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,pris,x,87
roll,z,pitch,y,pitch,x,pitch,z,pris,y,pris,x,88
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,pris,x,89
roll,z,pitch,y,pitch,x,pitch,x,pris,y,pris,x,90
roll,z,pitch,y,pitch,x,pitch,y,roll,y,pris,y,91
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,pris,y,92
roll,z,pitch,y,pitch,x,pitch,y,pris,y,pris,y,93
roll,z,pitch,y,pitch,x,pitch,z,roll,y,pris,y,94
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,pris,y,95
roll,z,pitch,y,pitch,x,pitch,z,pris,y,pris,y,96
roll,z,pitch,y,pitch,x,pitch,x,roll,y,pris,y,97
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,pris,y,98
roll,z,pitch,y,pitch,x,pitch,x,pris,y,pris,y,99
roll,z,pitch,y,pitch,x,pitch,y,roll,y,pris,z,100
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,pris,z,101
roll,z,pitch,y,pitch,x,pitch,z,roll,y,pris,z,102
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,pris,z,103
roll,z,pitch,y,pitch,x,pitch,x,roll,y,pris,z,104
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,pris,z,105
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,roll,x,106
roll,z,pitch,y,pitch,x,pitch,y,pris,y,roll,x,107
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,roll,x,108
roll,z,pitch,y,pitch,x,pitch,z,pris,y,roll,x,109
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,roll,x,110
roll,z,pitch,y,pitch,x,pitch,x,pris,y,roll,x,111
roll,z,pitch,y,pitch,x,pitch,y,roll,y,roll,y,112
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,roll,y,113
roll,z,pitch,y,pitch,x,pitch,y,pris,y,roll,y,114
roll,z,pitch,y,pitch,x,pitch,z,roll,y,roll,y,115
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,roll,y,116
roll,z,pitch,y,pitch,x,pitch,z,pris,y,roll,y,117
roll,z,pitch,y,pitch,x,pitch,x,roll,y,roll,y,118
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,roll,y,119
roll,z,pitch,y,pitch,x,pitch,x,pris,y,roll,y,120
roll,z,pitch,y,pitch,x,pitch,y,pitch,y,roll,z,121
roll,z,pitch,y,pitch,x,pitch,y,pris,y,roll,z,122
roll,z,pitch,y,pitch,x,pitch,z,pitch,y,roll,z,123
