Link1_Length,Link2_Length,Link3_Length,Link4_Length,Link5_Length,Link6_Length,Index
0.1,0.1,0.5,0.7,0.3,0.1,122
0.1,0.1,0.5,0.7,0.3,0.3,123
0.1,0.1,0.5,0.7,0.5,0.1,124
0.1,0.1,0.7,0.1,0.1,0.3,125
0.1,0.1,0.7,0.1,0.1,0.5,126
0.1,0.1,0.7,0.1,0.1,0.7,127
0.1,0.1,0.7,0.1,0.3,0.1,128
0.1,0.1,0.7,0.1,0.3,0.3,129
0.1,0.1,0.7,0.1,0.3,0.5,130
0.1,0.1,0.7,0.1,0.3,0.7,131
0.1,0.1,0.7,0.1,0.5,0.1,132
0.1,0.1,0.7,0.1,0.5,0.3,133
0.1,0.1,0.7,0.1,0.5,0.5,134
0.1,0.1,0.7,0.1,0.7,0.1,135
0.1,0.1,0.7,0.1,0.7,0.3,136
0.1,0.1,0.7,0.3,0.1,0.1,137
0.1,0.1,0.7,0.3,0.1,0.3,138
0.1,0.1,0.7,0.3,0.1,0.5,139
0.1,0.1,0.7,0.3,0.1,0.7,140
0.1,0.1,0.7,0.3,0.3,0.1,141
0.1,0.1,0.7,0.3,0.3,0.3,142
0.1,0.1,0.7,0.3,0.3,0.5,143
0.1,0.1,0.7,0.3,0.5,0.1,144
0.1,0.1,0.7,0.3,0.5,0.3,145
0.1,0.1,0.7,0.3,0.7,0.1,146
0.1,0.1,0.7,0.5,0.1,0.1,147
0.1,0.1,0.7,0.5,0.1,0.3,148
0.1,0.1,0.7,0.5,0.1,0.5,149
0.1,0.1,0.7,0.5,0.3,0.1,150
0.1,0.1,0.7,0.5,0.3,0.3,151
0.1,0.1,0.7,0.5,0.5,0.1,152
0.1,0.1,0.7,0.7,0.1,0.1,153
0.1,0.1,0.7,0.7,0.1,0.3,154
0.1,0.1,0.7,0.7,0.3,0.1,155
0.1,0.3,0.1,0.1,0.1,0.7,156
0.1,0.3,0.1,0.1,0.3,0.5,157
0.1,0.3,0.1,0.1,0.3,0.7,158
0.1,0.3,0.1,0.1,0.5,0.3,159
0.1,0.3,0.1,0.1,0.5,0.5,160
0.1,0.3,0.1,0.1,0.5,0.7,161
0.1,0.3,0.1,0.1,0.7,0.1,162
0.1,0.3,0.1,0.1,0.7,0.3,163
0.1,0.3,0.1,0.1,0.7,0.5,164
0.1,0.3,0.1,0.1,0.7,0.7,165
0.1,0.3,0.1,0.3,0.1,0.5,166
0.1,0.3,0.1,0.3,0.1,0.7,167
0.1,0.3,0.1,0.3,0.3,0.3,168
0.1,0.3,0.1,0.3,0.3,0.5,169
0.1,0.3,0.1,0.3,0.3,0.7,170
0.1,0.3,0.1,0.3,0.5,0.1,171
0.1,0.3,0.1,0.3,0.5,0.3,172
0.1,0.3,0.1,0.3,0.5,0.5,173
