Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pris,z,roll,y,pitch,y,pitch,x,pris,z,81
roll,z,pris,z,roll,y,pitch,y,pitch,x,pris,y,82
roll,z,pris,z,roll,y,pitch,y,pitch,x,pitch,z,83
roll,z,pris,z,roll,y,pitch,y,pitch,x,roll,x,84
roll,z,pris,z,roll,y,pitch,y,pitch,x,pris,x,85
roll,z,pris,z,roll,y,pitch,y,pitch,x,roll,z,86
roll,z,pris,z,roll,y,pitch,y,pitch,x,pitch,x,87
roll,z,pris,z,roll,y,pris,z,roll,y,roll,y,88
roll,z,pris,z,roll,y,pris,z,roll,y,pitch,y,89
roll,z,pris,z,roll,y,pris,z,roll,y,pris,z,90
roll,z,pris,z,roll,y,pris,z,roll,y,pris,y,91
roll,z,pris,z,roll,y,pris,z,pitch,y,roll,y,92
roll,z,pris,z,roll,y,pris,z,pitch,y,pitch,y,93
roll,z,pris,z,roll,y,pris,z,pitch,y,pris,z,94
roll,z,pris,z,roll,y,pris,z,pitch,y,pris,y,95
roll,z,pris,z,roll,y,pris,z,pitch,y,pitch,z,96
roll,z,pris,z,roll,y,pris,z,pitch,y,roll,x,97
roll,z,pris,z,roll,y,pris,z,pitch,y,pris,x,98
roll,z,pris,z,roll,y,pris,z,pitch,y,roll,z,99
roll,z,pris,z,roll,y,pris,z,pitch,y,pitch,x,100
roll,z,pris,z,roll,y,pris,z,pris,y,roll,y,101
roll,z,pris,z,roll,y,pris,z,pris,y,pitch,y,102
roll,z,pris,z,roll,y,pris,z,pris,y,pitch,z,103
roll,z,pris,z,roll,y,pris,z,pris,y,roll,x,104
roll,z,pris,z,roll,y,pris,z,pris,y,roll,z,105
roll,z,pris,z,roll,y,pris,z,pris,y,pitch,x,106
roll,z,pris,z,roll,y,pris,y,roll,y,roll,y,107
roll,z,pris,z,roll,y,pris,y,roll,y,pitch,y,108
roll,z,pris,z,roll,y,pris,y,roll,y,pris,z,109
roll,z,pris,z,roll,y,pris,y,roll,y,pris,y,110
roll,z,pris,z,roll,y,pris,y,pitch,y,roll,y,111
roll,z,pris,z,roll,y,pris,y,pitch,y,pitch,y,112
roll,z,pris,z,roll,y,pris,y,pitch,y,pris,z,113
roll,z,pris,z,roll,y,pris,y,pitch,y,pris,y,114
roll,z,pris,z,roll,y,pris,y,pitch,y,pitch,z,115
roll,z,pris,z,roll,y,pris,y,pitch,y,roll,x,116
roll,z,pris,z,roll,y,pris,y,pitch,y,pris,x,117
roll,z,pris,z,roll,y,pris,y,pitch,y,roll,z,118
roll,z,pris,z,roll,y,pris,y,pitch,y,pitch,x,119
roll,z,pris,z,roll,y,pris,y,pris,y,roll,y,120
