,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
6,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_1,7,1.93526291847229,True,0.903,"[[ 0.00000000e+00 -3.49026114e-01  9.44372200e-01 -9.75304187e-02
   5.84424084e-02]
 [ 1.00000000e+00  3.30239480e-12  7.36035008e-01 -5.02989731e-02
  -9.31903748e-02]
 [ 0.00000000e+00  6.74449374e-01  2.19923596e-01  7.41300526e-02
  -1.97332214e-04]
 [ 0.00000000e+00 -2.77555756e-17 -2.26809110e-01  5.26986763e-01
   8.47185974e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.76912954e-12 -8.40966023e-01
   5.31289218e-01]
 [ 0.00000000e+00  4.89641661e-12  9.73939232e-01  1.22723672e-01
   2.77360628e-03]]",[ 1.10013285  0.22880015  0.57173024 -1.76139644 -1.44596808  1.00425172],0,[0.027 0.001 0.004 0.039 0.026],0.039,0.06899999999999999,0.097
7,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_1,8,2.038861036300659,True,1.093,"[[ 0.00000000e+00 -4.25593627e-01  7.57963509e-01 -8.70311739e-02
   7.75840073e-02]
 [ 1.00000000e+00  4.19937472e-12  9.38934783e-01 -6.68349433e-02
  -7.79788614e-02]
 [ 0.00000000e+00  8.57642448e-01  2.04667929e-01  7.25756590e-02
   1.37814171e-04]
 [ 0.00000000e+00  0.00000000e+00 -2.60686962e-01  6.91562144e-01
   7.08853511e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.72732964e-12 -6.97761220e-01
   7.05282161e-01]
 [ 0.00000000e+00  4.89641661e-12  9.65423383e-01  1.86738002e-01
   1.01869340e-02]]",[ 0.89435246  0.2637337   0.79852895 -1.74665554 -1.3841987   0.78803924],0,[0.005 0.001 0.008 0.039 0.024],0.039,0.07100000000000001,0.077
8,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_1,9,1.8340718746185303,True,1.16,"[[ 0.00000000e+00 -4.81113602e-01  6.08014806e-01 -7.79319444e-02
   8.85262871e-02]
 [ 1.00000000e+00  4.67457538e-12  1.05256605e+00 -7.61304447e-02
  -6.52923860e-02]
 [ 0.00000000e+00  9.54736444e-01  1.81863544e-01  7.20843317e-02
   2.86081203e-05]
 [ 0.00000000e+00  0.00000000e+00 -2.86565861e-01  7.81409093e-01
   5.93547400e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.69074779e-12 -5.78594201e-01
   8.04761081e-01]
 [ 0.00000000e+00  4.89619456e-12  9.58060545e-01  2.33727577e-01
   7.81576026e-03]]",[ 0.89897758  0.29064044  0.9537923  -1.73412396 -1.33513938  0.63013584],0,[0.005 0.001 0.012 0.038 0.023],0.038,0.07300000000000001,0.079
9,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_1,10,2.5263190269470215,True,0.806,"[[ 0.00000000e+00 -4.77447521e-01  8.84791279e-01 -1.03586646e-01
   4.70399983e-02]
 [ 1.00000000e+00  2.56070467e-12  6.91015358e-01 -2.91839086e-02
  -9.94344284e-02]
 [ 0.00000000e+00  5.22946117e-01  5.06282349e-01  7.39050897e-02
   1.81654369e-04]
 [ 0.00000000e+00 -5.55111512e-17 -4.96647135e-01  4.17425359e-01
   9.03911562e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.25004476e-12 -8.76758400e-01
   4.27600011e-01]
 [ 0.00000000e+00  4.89663865e-12  8.67952546e-01  2.38853045e-01
  -1.01054054e-02]]",[ 1.09019419  0.51973153  0.50171637 -2.04619855 -1.33125072  1.1303289 ],0,[0.026 0.003 0.003 0.053 0.022],0.053,0.078,0.10699999999999998
0,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_3,1,3.545711040496826,True,1.2,"[[ 0.00000000e+00  1.33402103e-01  3.65656353e-01 -9.54292340e-02
   2.77269163e-01]
 [ 1.00000000e+00  5.11400987e-12  9.80807192e-01 -2.64337487e-01
  -1.38635365e-01]
 [ 0.00000000e+00  1.04439041e+00 -1.99372613e-01  6.81679086e-02
  -1.43077722e-03]
 [ 0.00000000e+00  5.55111512e-17  4.78710917e-01  8.03499903e-01
   4.47202940e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.29904723e-12 -4.03053244e-01
   8.94428499e-01]
 [ 0.00000000e+00  4.89663865e-12  8.77972584e-01 -4.38104996e-01
  -2.68152443e-03]]",[ 0.5158662  -0.49918587  1.15594569 -1.35745503 -2.01967214  0.46583118],0,[0.012 0.003 0.017 0.023 0.052],0.052,0.092,0.107
1,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_3,2,2.2331230640411377,True,1.109,"[[ 0.00000000e+00  7.05430876e-02  6.27817887e-01 -1.81579152e-01
   2.19905692e-01]
 [ 1.00000000e+00  4.34396523e-12  8.00693871e-01 -2.23691457e-01
  -2.18495562e-01]
 [ 0.00000000e+00  8.87122023e-01 -3.68682502e-01  6.87519155e-02
  -1.08459406e-03]
 [ 0.00000000e+00  0.00000000e+00  5.06385151e-01  6.55209544e-01
   7.04831847e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.22242796e-12 -6.50118423e-01
   7.09372491e-01]
 [ 0.00000000e+00  4.89669416e-12  8.62307415e-01 -3.84768098e-01
   1.65405618e-03]]",[ 0.83187012 -0.53098754  0.86305605 -1.20430424 -1.96225476  0.7791278 ],0,[0.001 0.004 0.009 0.018 0.049],0.049,0.076,0.081
2,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_3,3,1.4171559810638428,True,1.111,"[[ 0.00000000e+00  5.36629496e-03  6.69793663e-01 -1.89654852e-01
   2.19513892e-01]
 [ 1.00000000e+00  4.40184724e-12  8.06942867e-01 -2.25586230e-01
  -2.18859262e-01]
 [ 0.00000000e+00  8.98942592e-01 -3.33833214e-01  7.02510537e-02
  -3.77823641e-03]
 [ 0.00000000e+00  5.55111512e-17  4.46076248e-01  6.68108734e-01
   7.06062937e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.38227232e-12 -6.65391688e-01
   7.08147288e-01]
 [ 0.00000000e+00  4.89669416e-12  8.94994961e-01 -3.32993425e-01
   1.59611676e-03]]",[ 0.88137826 -0.46237642  0.84277793 -1.24887853 -1.89808501  0.77576879],0,[0.004 0.003 0.009 0.02  0.046],0.046,0.075,0.082
3,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_3,4,2.0368080139160156,True,0.947,"[[ 0.00000000e+00 -1.33488947e-01  8.74381364e-01 -2.46635359e-01
   1.65989617e-01]
 [ 1.00000000e+00  3.55655418e-12  6.18040995e-01 -1.75850776e-01
  -2.61815322e-01]
 [ 0.00000000e+00  7.26324122e-01 -3.67050865e-01  7.27255369e-02
   4.28861047e-04]
 [ 0.00000000e+00 -5.55111512e-17  3.87062783e-01  5.22678691e-01
   8.44564347e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.51505500e-12 -8.23811513e-01
   5.35452033e-01]
 [ 0.00000000e+00  4.89663865e-12  9.22053362e-01 -2.19411888e-01
   1.47776015e-03]]",[ 1.03169921 -0.39744394  0.60269393 -1.2363333  -1.79339163  0.99657874],0,[0.018 0.002 0.005 0.019 0.041],0.041,0.065,0.08499999999999999
4,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_3,5,2.117506980895996,True,1.146,"[[ 0.00000000e+00 -1.56020903e-01  6.97383894e-01 -1.89938293e-01
   2.32371336e-01]
 [ 1.00000000e+00  4.69147763e-12  8.81416718e-01 -2.38224396e-01
  -2.05159941e-01]
 [ 0.00000000e+00  9.58101662e-01 -1.93668540e-01  7.30594557e-02
  -3.60011082e-03]
 [ 0.00000000e+00  0.00000000e+00  2.67580745e-01  7.34047805e-01
   6.61860881e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.71833683e-12 -6.47779936e-01
   7.49625726e-01]
 [ 0.00000000e+00  4.89663865e-12  9.63535440e-01 -2.03850372e-01
   1.20196668e-03]]",[ 0.81117743 -0.27088134  0.86612964 -1.39157913 -1.76447223  0.72152942],0,[0.001 0.001 0.01  0.025 0.039],0.039,0.07400000000000001,0.07600000000000001
5,_roll_z_0_1_pitch_y_0_7_roll_z_0_5_pitch_y_0_3,6,1.7193171977996826,True,1.091,"[[ 0.00000000e+00 -2.57905524e-01  8.12131316e-01 -2.19757343e-01
   2.10903693e-01]
 [ 1.00000000e+00  4.33121524e-12  8.25451346e-01 -2.16359215e-01
  -2.27165802e-01]
 [ 0.00000000e+00  8.84528254e-01 -1.44952375e-01  7.41560009e-02
  -3.91548214e-03]
 [ 0.00000000e+00  0.00000000e+00  1.75707146e-01  6.75501782e-01
   7.32859306e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.82046347e-12 -7.27434625e-01
   6.80379534e-01]
 [ 0.00000000e+00  4.89663865e-12  9.84442481e-01 -1.20566201e-01
   9.63251295e-04]]",[ 0.91384472 -0.17662404  0.75622047 -1.44071288 -1.67902568  0.82828934],0,[0.006 0.    0.007 0.026 0.036],0.036,0.069,0.075
