,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,3,0.030014991760253906,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,4,0.030508041381835938,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,5,0.011963129043579102,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,6,0.013569116592407227,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,7,0.026795148849487305,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,8,0.014922142028808594,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,9,0.03073287010192871,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_5,10,0.012137889862060547,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,1,1.0257270336151123,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,2,1.0151898860931396,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,3,1.0169460773468018,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,4,1.0259678363800049,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,5,1.0428049564361572,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,6,1.014697790145874,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,7,1.0172429084777832,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,8,1.016916036605835,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,9,1.018333911895752,False,,,,,,,,
